epoch,train_loss,validation_loss,dice_red,dice_green,dice_blue,dice_average,iou_red,iou_green,iou_blue,iou_average,accuracy_red,accuracy_green,accuracy_blue,accuracy_average,fpr_red,fpr_green,fpr_blue,fpr_average,fnr_red,fnr_green,fnr_blue,fnr_average,precision_red,precision_green,precision_blue,precision_average,recall_red,recall_green,recall_blue,recall_average
1,13.787278492935002,1.6010515615344048,0.09824988966001504,0.35189762878329006,0.11931266402130697,0.18982006475996616,0.0,0.32850928571242005,0.0,0.10950309794340561,0.9954110615289034,0.9933000251428404,0.995860629117311,0.994857258761107,0.0,0.0033488029947699007,0.0,0.0011162676977918052,0.4517257347035764,0.2886466808728318,0.44142568133660215,0.39393270193640867,0.0,0.44707542835776487,0.0,0.14902514636294165,0.0,0.4206194741957223,0.0,0.1402064956613441
2,2.925783713813871,0.9671559268608689,0.207039462485865,0.430608774743863,0.2531508628779383,0.2969330426917147,0.18806529506596167,0.3965989693776885,0.22440553033974633,0.26968994024974197,0.9980149389202915,0.9954638316560147,0.998214930740755,0.997231252157866,0.0004643452131804496,0.0017391312007319683,0.0002633076642879716,0.0008222613706941536,0.23425939823709316,0.24445174467652592,0.19448533876618343,0.22439883271260047,0.28318593484252247,0.5246283672193983,0.3517039268096881,0.3865060864099816,0.21746632490140289,0.4648144102808255,0.24694033189495998,0.30974036521876036
3,1.9039922882802784,0.7190746357664466,0.25535421373684014,0.4698264738961832,0.3025503994813606,0.3425770394170462,0.24463177894923224,0.44172628068212255,0.28155113567612067,0.3226364089259461,0.9985222580717571,0.9962754605421379,0.998783308623442,0.9978603653943361,0.0006453819651549348,0.001761276351371363,0.0005048506236426644,0.00097050301430038,0.1611277699025709,0.18520597713207132,0.11707301688060831,0.15446892558638728,0.3123997742337967,0.5399930245840727,0.34898460389518027,0.400459143208034,0.29059795245750625,0.5240601754900235,0.3243526522792987,0.37967027167775735
4,1.5561620462685823,0.6387853326741606,0.26853932440280914,0.48269187114131984,0.31101345070707265,0.35408156020427817,0.2517937246098447,0.44549938991888244,0.29646448435178446,0.33125254211585914,0.9987447986851877,0.9966719590905887,0.9989355264314964,0.9981174486786571,0.0003295763162896037,0.0010689725719718957,0.0004942659349458765,0.0006309382933706268,0.17333989006592265,0.21467352480585897,0.10250581901020078,0.1635064157977033,0.3323171625831234,0.5750971247455967,0.35619072794024625,0.4212016852489158,0.27838583090412083,0.4945926305963032,0.33891985320778034,0.3706327825784683
5,1.3478019547183067,0.5657407261896878,0.2853828926584614,0.503313731124152,0.319088600909532,0.3692617491999669,0.2716007929906916,0.4691762801871371,0.29541875966894093,0.3453986219950576,0.9988861061743836,0.9970491110388913,0.9990168591933464,0.9983173795600435,0.0005145681664259034,0.0011797195292640923,0.0002605931331345346,0.0006516269617105849,0.13632112730350068,0.18194562869507874,0.1226243204923708,0.14696369720483893,0.32844883058942964,0.5707942389730197,0.3767527076068209,0.42533193239525185,0.31540459383334685,0.5273205230929958,0.3188013518924144,0.38717550017050845
6,1.2381176007911563,0.5462048121262342,0.2892389286365082,0.5143097434470902,0.3325825553776613,0.378710419829212,0.26731538372253305,0.4854819280887718,0.3130090829374185,0.3552688079983441,0.9989421452159313,0.9970499699685111,0.9990901782441495,0.9983607810824665,0.00030776309190446566,0.0016954791942375032,0.0004997006478483108,0.0008343143346059178,0.1615896313381729,0.1327714263948042,0.08189322187829373,0.12541809778160123,0.3480600137541543,0.5559681542773744,0.3593069000253037,0.4211116989157093,0.29013608907585714,0.5764947300081822,0.3595324492276604,0.40872109914893534
7,1.1598840015940368,0.506117049837485,0.29755796347536256,0.526416484989337,0.3372639892483825,0.3870794893200718,0.2801786703405096,0.4999231318039681,0.3203684708742953,0.36682343460730654,0.999017637167404,0.997253780934348,0.9991352949569474,0.9984689230349526,0.00035183677407904225,0.0018028698004990706,0.0004842064748240162,0.0008796377015411298,0.142894951154047,0.11582224660400134,0.07466993364157962,0.11112904734909534,0.34952127066121175,0.5592692265314843,0.3642221849356125,0.42433757056940846,0.3088307689819763,0.5934439101325932,0.36675573729757055,0.42301014732958664
8,1.0776698598638177,0.4983329700771719,0.3037125602809351,0.5215370466015232,0.3366374892752562,0.3872957069482376,0.2857907614601192,0.4863960258106687,0.31714584656170947,0.3631108861360977,0.9990228801520903,0.9973389924462162,0.9991602141465714,0.9985073804855347,0.00045879636721775884,0.0009951318093790993,0.0002710565379707824,0.0005749949243670302,0.12641334033279278,0.17130459255691785,0.09755604255444078,0.13175799580874728,0.3413472021026398,0.5940193020140947,0.3819286399590435,0.4390983904030786,0.3253123808040548,0.5379615621780282,0.3438696296357397,0.40238119906453945
9,1.0524955741129816,0.49743875465355814,0.30478791180831283,0.5339295530497138,0.33924272667561006,0.39265340544394595,0.2878626560542121,0.5078293100666644,0.32123781529380313,0.37230993651632055,0.9990644125796077,0.9972272986796364,0.999197004001532,0.9984962588815547,0.00040712822537083846,0.0019715876942291966,0.0003294802213056402,0.0009027320727420998,0.1299033151355697,0.09712062267336383,0.08891590695772598,0.10531328496203493,0.34835949740303096,0.5584300238249907,0.37785871415885525,0.42821608973083214,0.32182240853113914,0.6121455377607203,0.35250976314740395,0.4288259135253394
10,0.9949603744316846,0.43188134604133666,0.30958455256116924,0.5470419581701507,0.344946321489206,0.4005242895279358,0.29311078597805396,0.5186276658257442,0.32779107064898333,0.3798431838626292,0.9991324579537805,0.9977062380135949,0.9992309257165709,0.99868989168708,0.0003544619070616231,0.0011297757963219018,0.0003938426851354011,0.0006260268147791555,0.12840857081560056,0.1288864814412238,0.07571363982869618,0.1110029000955731,0.3555511158348909,0.59655445992057,0.37288821911189096,0.44166461144810293,0.3233171487922099,0.5803796757957829,0.365712029831623,0.42313629588974055
