epoch,train_loss,validation_loss,dice_red,dice_green,dice_blue,dice_average,iou_red,iou_green,iou_blue,iou_average,accuracy_red,accuracy_green,accuracy_blue,accuracy_average,fpr_red,fpr_green,fpr_blue,fpr_average,fnr_red,fnr_green,fnr_blue,fnr_average,precision_red,precision_green,precision_blue,precision_average,recall_red,recall_green,recall_blue,recall_average
1,20.823909794911742,2.0331275472417474,0.08858535213590558,0.21020454991219648,0.08636598547559175,0.12838529956652156,0.0,0.0,0.0,0.0,0.9954110615289034,0.9879748954701779,0.995860629117311,0.9930822142024538,0.0,0.0,0.0,0.0,0.4517257347035764,0.7092661693024991,0.44142568133660215,0.5341392163910083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.253518189303577,1.6089502582326531,0.08858535213590558,0.21020454991219648,0.08636598547559175,0.12838529956652156,0.0,0.0,0.0,0.0,0.9954110615289034,0.9879748954701779,0.995860629117311,0.9930822142024538,0.0,0.0,0.0,0.0,0.4517257347035764,0.7092661693024991,0.44142568133660215,0.5341392163910083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.247088913805783,1.2155080144293606,0.08858535213590558,0.21020454991219648,0.08636598547559175,0.12838529956652156,0.0,0.0,0.0,0.0,0.9954110615289034,0.9879748954701779,0.995860629117311,0.9930822142024538,0.0,0.0,0.0,0.0,0.4517257347035764,0.7092661693024991,0.44142568133660215,0.5341392163910083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.271707472857088,0.9654896617867053,0.08858535213590558,0.21020454991219648,0.08636598547559175,0.12838529956652156,0.0,0.0,0.0,0.0,0.9954110615289034,0.9879748954701779,0.995860629117311,0.9930822142024538,0.0,0.0,0.0,0.0,0.4517257347035764,0.7092661693024991,0.44142568133660215,0.5341392163910083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.7491243514232337,0.8785785683430731,0.08858535213590558,0.21020454991219648,0.08636598547559175,0.12838529956652156,0.0,0.0,0.0,0.0,0.9954110615289034,0.9879748954701779,0.995860629117311,0.9930822142024538,0.0,0.0,0.0,0.0,0.4517257347035764,0.7092661693024991,0.44142568133660215,0.5341392163910083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.5023281567264348,0.6442525167949498,0.08858535213590558,0.21020454991219648,0.08636598547559175,0.12838529956652156,0.0,0.0,0.0,0.0,0.9954110615289034,0.9879748954701779,0.995860629117311,0.9930822142024538,0.0,0.0,0.0,0.0,0.4517257347035764,0.7092661693024991,0.44142568133660215,0.5341392163910083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.3737519008573145,0.625480875838548,0.08858535213590558,0.21020454991219648,0.08636598547559175,0.12838529956652156,0.0,0.0,0.0,0.0,0.9954110615289034,0.9879748954701779,0.995860629117311,0.9930822142024538,0.0,0.0,0.0,0.0,0.4517257347035764,0.7092661693024991,0.44142568133660215,0.5341392163910083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.2823414651211351,0.5588968265801668,0.08858535213590558,0.21020454991219648,0.08636598547559175,0.12838529956652156,0.0,0.0,0.0,0.0,0.9954110615289034,0.9879748954701779,0.995860629117311,0.9930822142024538,0.0,0.0,0.0,0.0,0.4517257347035764,0.7092661693024991,0.44142568133660215,0.5341392163910083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.2137463146355003,0.5400229492224753,0.08858535213590558,0.21020454991219648,0.08636598547559175,0.12838529956652156,0.0,0.0,0.0,0.0,0.9954110615289034,0.9879748954701779,0.995860629117311,0.9930822142024538,0.0,0.0,0.0,0.0,0.4517257347035764,0.7092661693024991,0.44142568133660215,0.5341392163910083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.140078408876434,0.5053293087985367,0.08858535213590558,0.21020454991219648,0.08636598547559175,0.12838529956652156,0.0,0.0,0.0,0.0,0.9954110615289034,0.9879748954701779,0.995860629117311,0.9930822142024538,0.0,0.0,0.0,0.0,0.4517257347035764,0.7092661693024991,0.44142568133660215,0.5341392163910083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
