epoch,lr,train_loss,validation_loss,accuracy,accuracy_e
1,0.0001,0.5314466736229861,0.49560714113539545,0.7990196078431373,0.8184591914569032
2,0.0001,0.3682591537801491,0.38542200562428375,0.8700980392156863,0.8504958047292144
3,0.0001,0.3104086623472326,0.3020477669553662,0.8874299719887955,0.881769641495042
4,0.0001,0.21640401423311367,0.2583412011100717,0.9243697478991597,0.9069412662090007
5,0.0001,0.20739759477664108,0.20420178432304562,0.9322478991596639,0.9282990083905416
6,0.0001,0.15240996566807188,0.1649344170325408,0.9485294117647058,0.9435545385202135
7,0.0001,0.1427253010142751,0.11821682063520272,0.9471288515406162,0.9633867276887872
8,0.0001,0.09626486227542412,0.10976139988542785,0.9718137254901961,0.9595728451563692
9,0.0001,0.09120951198479708,0.10436786242997279,0.9714635854341737,0.9664378337147216
10,0.0001,0.09210845938667196,0.11205489037829806,0.9688375350140056,0.9588100686498856
11,5e-05,0.054665405420633424,0.07232192386663501,0.9837184873949579,0.973302822273074
12,5e-05,0.04807801493926167,0.08304293588525598,0.9833683473389355,0.9687261632341724
13,5e-05,0.05434401012977966,0.12409001924108194,0.9826680672268907,0.9557589626239512
14,5e-05,0.0382131046357275,0.07266897356320914,0.9898459383753502,0.9763539282990084
15,5e-05,0.026753035319202086,0.050839423188835976,0.9933473389355743,0.9839816933638444
16,5e-05,0.022525351152804886,0.04408714493621541,0.9942226890756303,0.9870327993897788
17,5e-05,0.03270149059040623,0.06354921035863556,0.989670868347339,0.9786422578184591
18,5e-05,0.020930662196839138,0.05866470983433789,0.9945728291316527,0.977116704805492
19,5e-05,0.025589825842446054,0.060581668624604686,0.9929971988795518,0.9786422578184591
20,5e-05,0.019915449853036917,0.07147102351378562,0.9954481792717087,0.9778794813119756
21,2.5e-05,0.01479650686980233,0.06824876240397428,0.9963235294117647,0.977116704805492
22,2.5e-05,0.012529584641127484,0.05214903902931638,0.9966736694677871,0.9832189168573608
23,2.5e-05,0.010564431962909317,0.04535760831469308,0.9968487394957983,0.984744469870328
24,2.5e-05,0.010907469681237176,0.0412087481730695,0.9970238095238095,0.9855072463768116
25,2.5e-05,0.012631503484245776,0.06714166825655692,0.9961484593837535,0.9755911517925248
26,2.5e-05,0.016912830659613555,0.04616901678028556,0.9945728291316527,0.9855072463768116
27,2.5e-05,0.009263904238607557,0.037561853555056694,0.9978991596638656,0.9877955758962624
28,2.5e-05,0.011913596501466962,0.051123242017000164,0.9970238095238095,0.9855072463768116
29,2.5e-05,0.020924415217623824,0.06963826913150734,0.9929971988795518,0.9763539282990084
30,2.5e-05,0.009287974989339736,0.0386623160001267,0.9977240896358543,0.988558352402746
31,1.25e-05,0.00814015029457395,0.059050980346335255,0.998249299719888,0.9839816933638444
32,1.25e-05,0.006472170589027368,0.06254745555255639,0.9984243697478992,0.984744469870328
33,1.25e-05,0.007572952935117341,0.05422901328108583,0.9973739495798319,0.9855072463768116
34,1.25e-05,0.007843327372666208,0.046545674040987105,0.9977240896358543,0.9877955758962624
35,1.25e-05,0.008731688448444469,0.05721425986910931,0.9975490196078431,0.9832189168573608
36,1.25e-05,0.006362854160371051,0.06065656216827546,0.9987745098039216,0.9816933638443935
37,1.25e-05,0.005438170848898224,0.07213104091183134,0.9985994397759104,0.9794050343249427
38,1.25e-05,0.00661484054666396,0.05166535739760994,0.9989495798319328,0.9862700228832952
39,1.25e-05,0.005189301111426919,0.0609298058667884,0.999124649859944,0.984744469870328
40,1.25e-05,0.005875272391343108,0.0500582043050398,0.9989495798319328,0.9855072463768116
