epoch,lr,train_loss,validation_loss,dice_red,dice_green,dice_blue,dice_average,iou_red,iou_green,iou_blue,iou_average,accuracy_red,accuracy_green,accuracy_blue,accuracy_average,fpr_red,fpr_green,fpr_blue,fpr_average,fnr_red,fnr_green,fnr_blue,fnr_average,precision_red,precision_green,precision_blue,precision_average,recall_red,recall_green,recall_blue,recall_average,dice_red_e,dice_green_e,dice_blue_e,dice_average_e,iou_red_e,iou_green_e,iou_blue_e,iou_average_e,accuracy_red_e,accuracy_green_e,accuracy_blue_e,accuracy_average_e,fpr_red_e,fpr_green_e,fpr_blue_e,fpr_average_e,fnr_red_e,fnr_green_e,fnr_blue_e,fnr_average_e,precision_red_e,precision_green_e,precision_blue_e,precision_average_e,recall_red_e,recall_green_e,recall_blue_e,recall_average_e
1,0.002,32.33621671050787,1.585142882540822,1.3586443734382032e-10,0.062286599397663005,2.229378990704502e-05,0.020769631107811493,0.0,0.03850922359401466,1.1198302910884195e-05,0.012840140632308518,0.9952716246992349,0.9797867266321555,0.9908171290069003,0.9886251601127647,5.629125007544644e-07,0.008765923292811948,0.004962727153188098,0.0045764044528336,1.0,0.9497636366263031,0.9974980533868074,0.9824205633377037,0.0,0.12989901384564292,1.1198329365811333e-05,0.043303404058336235,0.0,0.05023636329722194,0.0025019462825730445,0.01757943652659833,1.4006753575342817e-10,0.27192044065574583,1.4185719195755901e-10,0.09064014697922347,0.0,0.15899115687843118,0.0,0.0529970522928104,0.9954916198601883,0.9893600465206618,0.9958778197845716,0.9935764953884745,0.0,0.0007527725799846348,0.0,0.0002509241933282116,1.0,0.831265914306212,1.0,0.9437553047687376,0.0,0.7380334319693319,0.0,0.24601114398977725,0.0,0.16873408527521605,0.0,0.05624469509173869
2,0.0018000000000000002,12.50759797822684,1.1832668734714389,0.17712684143419566,0.5392523156059906,0.26768415150466934,0.3280211028482853,0.10795018834198344,0.37545022075297313,0.1722097860073427,0.21853673170076626,0.9955540272593498,0.9908480528742075,0.9961939442157746,0.9941986747831097,0.0003324714250932459,0.0026184788559567096,0.0003778587074240392,0.0011096029961579974,0.8783332645520567,0.5396722305752337,0.805350080281496,0.7411185251362612,0.4586313172150403,0.6953580491989851,0.6570435205101967,0.6036776289747405,0.12166673498726595,0.4603277695574798,0.19464992084053848,0.258881475128428,0.26377939688188307,0.6078397614902324,0.6062163479542464,0.4926118354421205,0.1590727296124181,0.4389365650294872,0.4393568490998129,0.3457887145805728,0.9960129361474113,0.9920878999688653,0.9968431083004127,0.9949813148055631,0.0002591610203616552,0.002285858523362222,0.0015227216625523367,0.0013559137354254046,0.8305912366074123,0.4773901536893309,0.3987480410364237,0.568909810444389,0.7255379611605339,0.7349074348974763,0.6254803106356203,0.695308568897877,0.16940876457505347,0.5226098446363814,0.6012519581264324,0.4310901891126224
3,0.0016200000000000001,9.843724376056343,0.9697744944132864,0.4392787951317405,0.6482034441828728,0.6455767264589667,0.577686321924526,0.2928568776751581,0.48330375013872984,0.4840624519996345,0.42007435993784076,0.9962924590706825,0.9924630136042834,0.9974890601634979,0.995414844279487,0.0006127142663401486,0.0025058176269521937,0.0006653931861865203,0.0012613083598262873,0.663878700658679,0.4161592464894056,0.4375283912476152,0.5058554461319,0.724933936111629,0.7490077000111341,0.7949643793515861,0.7563020051581155,0.336121298746084,0.5838407540880144,0.562471608556807,0.49414455379696853,0.5286459212892511,0.7134203133958109,0.6765769047013829,0.639547713128815,0.3687659833538398,0.5564196668983845,0.5148467910423707,0.4800108137648648,0.9968092012941168,0.9935555036148328,0.9978338017892302,0.9960661688993934,0.0005356723250065187,0.002768760285434428,0.0003635976280431064,0.0012226767461613517,0.5796449964635828,0.3149234081587095,0.4381722918387209,0.4442468988203377,0.766140569796723,0.747658420144842,0.8646107691057613,0.7928032530157754,0.4203550020295582,0.6850765910041466,0.5618277051475611,0.5557530993937548
4,0.001458,8.036239699460566,0.9079579822719097,0.5989446758665145,0.7177496708929538,0.7401467091962695,0.6856136853185794,0.43713796387426557,0.5624150633811951,0.5916451453603804,0.5303993908719468,0.9970026049017906,0.993779733851552,0.9980142050981522,0.9962655146171651,0.0006661802847042963,0.002167732692541904,0.0006582147933977467,0.0011640425902146488,0.49517376664560286,0.3374126788973808,0.31342607697471975,0.3820041741725679,0.7840111898630857,0.794943998940289,0.8230337759666145,0.8006629882566628,0.5048262330796569,0.6625873216614128,0.6865739224106073,0.6179958257172256,0.629744955662931,0.6717380533057652,0.7478979946522231,0.6831270012069732,0.4692822897367263,0.5089105541786451,0.6003785772939746,0.5261904737364486,0.9973269272386358,0.9937023821841465,0.9980963133694081,0.9963752075973968,0.0005288180856562606,0.00104925888812881,0.0006779081620121625,0.0007519950452657442,0.47081046928180736,0.446805285268955,0.29872610913903525,0.4054472878965994,0.8107286678271347,0.8632514670993505,0.810227492552125,0.8280692091595365,0.5291895305507639,0.5531947164053328,0.7012738893541057,0.5945527121034009
5,0.0013122000000000001,7.111507949884981,0.7536237258464098,0.6641749721579253,0.7471981313079595,0.7740395394340157,0.7284708809666337,0.5053949412703514,0.5986086289212108,0.6345821184292436,0.5795285628736013,0.9973610540479422,0.9943610178679227,0.9982435914874077,0.9966552211344244,0.0006935041071119485,0.001984018825824023,0.0006280304647521006,0.0011018511325626903,0.41511953860521317,0.30340693140402436,0.26910131754353644,0.3292092625175912,0.7981970841810108,0.8147123100608588,0.8359610700979829,0.8162901547799514,0.5848804606404155,0.6965930692851543,0.7308986828103662,0.6707907375786449,0.6942733897921745,0.7324734135959925,0.7661206635196557,0.7309558223026078,0.5396248467182845,0.5802916573004776,0.6232074314958593,0.5810413118382072,0.9975904741983735,0.9946210839775171,0.9983324991183334,0.9968480190980749,0.0007443919233726652,0.0010251861357972486,0.0003378287953811206,0.0007024689515170117,0.3652765889850895,0.369946383693245,0.32406550595599615,0.3530961595447769,0.7856356823042537,0.8802847219317147,0.8906468574920398,0.8521890872426691,0.6347234101777666,0.6300536156370399,0.6759344922022873,0.6469038393390314
6,0.00118098,6.664908988401294,0.7042148821055889,0.6924020450096577,0.7602141604572534,0.7952501164376735,0.749288773968194,0.5368834778433665,0.615583967231214,0.6625841992348432,0.6050172147698077,0.9975251284241676,0.9946340168267489,0.9983822299540043,0.9968471250683076,0.0006835039447514646,0.001917148426291533,0.000609350053214257,0.001070000808085751,0.3802808685414493,0.2869917654432356,0.24001245363615453,0.3024283625402793,0.8111294565722347,0.8236107826977969,0.8447977966070175,0.8265126786256829,0.6197191312909126,0.7130082348361612,0.7599875478819013,0.6975716380029915,0.7109687582830365,0.7738810710692674,0.821514502000273,0.7687881104508587,0.5582199645846078,0.6327802860335018,0.6986817215265853,0.6298939907148982,0.997692938601033,0.9948107399297564,0.9985983653014965,0.997034014610762,0.0007501857970341559,0.002374477359450558,0.0005681049719641215,0.0012309227094829457,0.3415852219201206,0.24139288017589056,0.20325492414530744,0.26207767541377286,0.7920495177922624,0.7922868005345377,0.851087895002258,0.811808071109686,0.658414778414737,0.7586071203263958,0.7967450786172674,0.7379223257861331
7,0.001062882,6.208899279590696,0.6488595730625093,0.7204131607245654,0.775364146232605,0.8091887297481298,0.7683220122350995,0.5702625961601734,0.634998935200274,0.6819539644569158,0.6290718319391214,0.9977276699990034,0.9949230013787747,0.9984796347469092,0.9970434353748969,0.0006564869880935476,0.0018449782643074285,0.0005880416587660874,0.0010298356370556881,0.34741182294674217,0.26878399941138925,0.2212147260736674,0.27913684947726636,0.822630773447454,0.8317841278761625,0.8517125432193279,0.8353758148476467,0.6525881783850491,0.7312159997969866,0.7787852741405368,0.7208631507741912,0.7274171914277452,0.7928506417220897,0.829067069492983,0.7831116342142727,0.5786762619286441,0.6582902462294932,0.7096321937743197,0.6488662339774858,0.9979742383689023,0.9951869651172938,0.998596417100242,0.9972525401954794,0.000351706823759864,0.002323686133473693,0.0007553901608374096,0.0011435943726903221,0.37399366447764837,0.21400641181160895,0.1582530444760001,0.2487510402550858,0.8826447564564394,0.801609535565537,0.8194276723968849,0.834560654806287,0.6260063316714898,0.7859935867652464,0.8417469537659977,0.7512489574009116
8,0.0009565938,5.872175307711586,0.6332680438645184,0.7389124009758234,0.7873335894197225,0.8210042889416218,0.7824167597790556,0.5924698390811681,0.651035908907652,0.698490473255515,0.647332073748112,0.9978676449507475,0.9951793267577886,0.9985593732446432,0.9972021149843913,0.0006190780374208771,0.001785723393313674,0.0005740562780238178,0.0009929525695861225,0.32552435711957517,0.2533845843374729,0.20515184343792497,0.2613535949649911,0.8344264877960086,0.839055852741003,0.8563815654814243,0.843287968672811,0.6744756427407265,0.7466154165193438,0.7948481563851237,0.7386464052150652,0.7265891452853599,0.796953461813123,0.8307680855976062,0.7847702308986966,0.577117426341839,0.6638720939668377,0.7121033012197259,0.6510309405094673,0.9979665587457378,0.9953201366274544,0.9986089702402607,0.9972985552044848,0.00033233350927985974,0.0021418465126117462,0.0007514405320006098,0.0010752068512974047,0.3776738288697232,0.2173558785841706,0.15639700991718958,0.25047557245702773,0.8901470752244585,0.8135971339900842,0.8209053003386165,0.8415498365177199,0.6223261687862739,0.7826441231738316,0.8436029894968097,0.749524427152305
9,0.00086093442,5.565997268306091,0.5877777491696179,0.7557734432671037,0.7970620349049569,0.8292170019263171,0.7941367334748298,0.6127778947800957,0.6642990418896079,0.7101688619623793,0.6625965080037713,0.9979854712498203,0.9953737927973271,0.9986263735870247,0.9973282456149656,0.0006078071235467459,0.0017300498480472015,0.0005554454117746457,0.0009641848510470179,0.30460550071897735,0.24172982972115278,0.19434057589205395,0.24677275164363277,0.8412531690394625,0.8450542521476746,0.8603813485597938,0.8490053432186454,0.6953945002508104,0.7582701715826988,0.8056594227371884,0.7532272486637042,0.7380862637852015,0.8097739514340175,0.8442282730273987,0.7973628294155387,0.5913233174366898,0.6817784885342202,0.7320422047979376,0.6683813369229493,0.9980674037772618,0.9955690027622695,0.9987713928972737,0.9974692664789345,0.00023698475248810805,0.002167967205678814,0.0005090785339694428,0.0009713434973787881,0.3776534100931682,0.19462314984771642,0.1761543991860379,0.24947698637564067,0.9221980879815777,0.8157652884386899,0.8679556183600694,0.868639664926779,0.6223465870605426,0.8053768491477109,0.8238456008139621,0.7505230123407385
10,0.000774840978,5.307872817385942,0.5510105479042977,0.7754359858483076,0.8057111931592226,0.8353761429339648,0.8055077739804979,0.6375477875396609,0.6762831960245967,0.7190946999564767,0.6776418945069128,0.9981264622509479,0.9955599845945835,0.9986681074649095,0.9974515181034798,0.0005806020694217296,0.0016802056654341869,0.0005500433491761215,0.0009369503613440127,0.2814361894223839,0.23028166236355901,0.1856817687069997,0.23246654016431414,0.852795721590519,0.8504728201031685,0.8633653697371483,0.8555446371436111,0.7185638110339642,0.7697183372452855,0.8143182315677404,0.7675334599489968,0.7924061993534646,0.8158536506502816,0.8396536794941077,0.8159711764992849,0.6609480655595158,0.69023359491584,0.7248033686970057,0.6919950097241204,0.9983222752474668,0.9957344625773055,0.9987817373168603,0.9976128250472108,0.000573720283488471,0.002001613781400276,0.0003329935629807643,0.0009694425426231706,0.25162039914827666,0.19433251500464557,0.215102699867795,0.22035187134023906,0.8486754606279094,0.8275178175293998,0.9051859921283936,0.8604597567619011,0.7483795998471506,0.8056674847442112,0.7848972972859157,0.779648127292426
