epoch,lr,train_loss,validation_loss,dice_red,dice_green,dice_blue,dice_average,iou_red,iou_green,iou_blue,iou_average,accuracy_red,accuracy_green,accuracy_blue,accuracy_average,fpr_red,fpr_green,fpr_blue,fpr_average,fnr_red,fnr_green,fnr_blue,fnr_average,precision_red,precision_green,precision_blue,precision_average,recall_red,recall_green,recall_blue,recall_average,dice_red_e,dice_green_e,dice_blue_e,dice_average_e,iou_red_e,iou_green_e,iou_blue_e,iou_average_e,accuracy_red_e,accuracy_green_e,accuracy_blue_e,accuracy_average_e,fpr_red_e,fpr_green_e,fpr_blue_e,fpr_average_e,fnr_red_e,fnr_green_e,fnr_blue_e,fnr_average_e,precision_red_e,precision_green_e,precision_blue_e,precision_average_e,recall_red_e,recall_green_e,recall_blue_e,recall_average_e
1,0.002,13.598365107551217,0.7167072053998709,0.369364806892108,0.575114042833249,0.5143775731595213,0.48628547429495955,0.2786512356957337,0.459003037917355,0.4221808492115088,0.38661170760819913,0.9961439024657011,0.9922708348184824,0.9962078508548439,0.994874196046342,0.0006900140809362654,0.002344711035238589,0.0016635828386402807,0.0015661026516050449,0.6686975060869008,0.4481101446505636,0.49922831379342825,0.538678654843632,0.46304250953369774,0.6222442745650187,0.5476837414610781,0.5443235085199316,0.331302494207639,0.5518898550685116,0.5007716872679157,0.4613213455146887,0.5506263663259785,0.7772196752301762,0.8026651653011193,0.7101704022857579,0.38925297499707573,0.6377514868639829,0.6720575847652521,0.5663540155421036,0.9971814021635591,0.995086682646462,0.9982849560426862,0.9968510136175688,0.00012140698730322226,0.0017953047318268944,0.0011495321588800027,0.0010220812926700399,0.5996001520183649,0.2670975022771385,0.1400021809373009,0.3355666117442682,0.9310574508115147,0.8306760466500615,0.7554165513327952,0.8390500162647903,0.4003998489862078,0.7329024960485737,0.8599978176395545,0.6644333875581121
2,0.0018000000000000002,5.42976988828741,0.5179241963196546,0.7497672645747662,0.8045987106859684,0.8332197650521994,0.7958619134376438,0.605685971416533,0.6745706330984831,0.7158182448148728,0.6653582831099628,0.9979271575808525,0.9954596648365259,0.9986323316395282,0.9973397180189693,0.0006619524565803658,0.0018536997174305725,0.0005919336497117911,0.001035861941240909,0.3045049420464784,0.22035551445558668,0.17849183998652735,0.23445076549619756,0.8302358463779091,0.8369637771695853,0.8525240051746369,0.8399078762407112,0.6954950581863523,0.7796444845199585,0.8215081597864627,0.7655492341642575,0.7874923696678676,0.8242952709787348,0.8489889582891142,0.8202588663119055,0.6554817487014813,0.7023942832196697,0.7389686623316133,0.698948231417588,0.998314485121309,0.9960291144553195,0.9988460259491139,0.9977298751752477,0.0005171389462559724,0.0016227387260708413,0.00033590283403120766,0.0008252601687860074,0.266625669648808,0.20199096487479262,0.19941512219021829,0.2226772522379396,0.8604874865392621,0.8543789299686303,0.9061141020796272,0.8736601728625065,0.7333743311046215,0.798009034622921,0.8005848734566335,0.7773227463947253
3,0.0016200000000000001,4.713665769435465,0.5416841385886073,0.7938551946170931,0.8284428963065147,0.8525241994857788,0.824940763469795,0.6634805646166205,0.708305089250207,0.7442525801435113,0.7053460780034466,0.9982782304286957,0.9959931088238955,0.9987866294384002,0.9976859895636637,0.0005668805298751068,0.0016410690008706297,0.0005376440654890757,0.0009151978654116045,0.2522248453646898,0.1947442147228867,0.1560908966814168,0.20101998558966433,0.8564541282877326,0.8572760071605444,0.866962653286755,0.8602309295783432,0.7477751560509205,0.805255783945322,0.843909103050828,0.798980014349023,0.7692421400145198,0.8277691287940807,0.8435821144768362,0.8135311277618119,0.6308414684922508,0.7075167371985618,0.730717701188634,0.6896919689598154,0.9982260432136193,0.9957604582390088,0.9988092552410083,0.9975985855645454,0.00037818199052708223,0.0027413814684397048,0.0003277491871332959,0.0011491042153666943,0.3134885262907221,0.1310545288110047,0.20993295529585207,0.21815867013252624,0.8850763205731853,0.7914619861024149,0.9074322032124809,0.8613235032960274,0.6865114717001326,0.8689454733655694,0.7900670458761494,0.7818413303139504
4,0.001458,4.26387445977889,0.44855918921530247,0.8184363735467195,0.8436148266494274,0.8624396086484194,0.8414969362815223,0.6964741497486829,0.7305208555608987,0.7592934074997902,0.7287628042697913,0.9984767705947161,0.9963523744046688,0.9988689481467009,0.9978993643820275,0.0005134493119237504,0.0015098177539766766,0.0005080735972433103,0.000843780221047913,0.22436129992827772,0.1765430215280503,0.14461528641870244,0.18183986929167695,0.8740199906378985,0.8680790998786688,0.8743406072258949,0.8721465659141543,0.7756387001276016,0.8234569781273603,0.8553847140073776,0.8181601307541121,0.8395528712969148,0.8496175066808637,0.8751692631271448,0.8547798803683075,0.7270209179835373,0.7394078166297312,0.7788358699069934,0.748421534840087,0.9987096511915828,0.9963089562533947,0.9989950067541572,0.9980045380663788,0.00042976123075461373,0.002423066933628883,0.0004664184107854596,0.0011064155250563189,0.20116892348179657,0.11106461152601778,0.13174667510758625,0.14799340337180023,0.8886191402928213,0.8143013581800996,0.8841651966062825,0.8623618983597345,0.7988310791133495,0.8889353918225578,0.8682533274875598,0.852006599474489
5,0.0013122000000000001,3.8412782058585435,0.46173595963045955,0.84235834158957,0.8594522561877966,0.873561962544918,0.858457520107428,0.7307115902006626,0.7543276010453701,0.7764546588808298,0.7538312833756209,0.9986500588059425,0.9966986093670129,0.9989568772166968,0.9981018484632189,0.00047379187014257696,0.0013747118976607452,0.0004751166132518847,0.0007745401270184015,0.19306085160700603,0.159316345769912,0.13272883292520418,0.16170201010070723,0.8865534745901823,0.8814028530567884,0.8833148055523634,0.8837570443997785,0.8069391475990415,0.8406836553663015,0.867271167859435,0.8382979902749268,0.8444775537158666,0.8180715301063624,0.8818182262142052,0.8481224366788113,0.7341733903027652,0.6935792699288786,0.7892617375663157,0.7390047992659866,0.9987010661135899,0.9962293465485733,0.9990370628539096,0.9979891585053575,0.0006128989646977777,0.0005508166935041108,0.0005052957513429789,0.000556337136514956,0.1647721030069201,0.2744757651947857,0.11276569535558144,0.18400452118576238,0.8579621093996456,0.940046391460333,0.8776200192697933,0.8918761733765906,0.8352278973279375,0.7255242359772157,0.8872343067372783,0.8159954800141437
6,0.00118098,3.584332649828866,0.37608392210677266,0.8549270313233137,0.8680276171118021,0.8808443697541952,0.8679330060631041,0.7489519823715091,0.7675119125843048,0.7877784202992916,0.7680807717517014,0.9987546944618225,0.9968951757252217,0.9990125359594821,0.9982208020488418,0.0004399302967840413,0.0013064616573683452,0.00045147776493649873,0.0007326232396962948,0.17852918439079077,0.14884239878039807,0.12534873644355685,0.15090677320491508,0.8953812447190285,0.8875578153133392,0.8899826949089765,0.8909739183137819,0.8214708152413368,0.8511576001346112,0.8746512636542321,0.8490932263433923,0.8624888136145774,0.8657408966107315,0.891269594765781,0.8731664349970297,0.7604759516340963,0.763990696896328,0.8043820904881767,0.7762829130062001,0.9988622779256842,0.9970151226172287,0.999112636855479,0.9983300124661305,0.00045846374579535255,0.0008860663187119775,0.000469915356599527,0.0006048151403689524,0.16182742297147099,0.1792504047409872,0.10284789731160979,0.14797524167468937,0.8910038457827621,0.9167554184292139,0.8863268025805441,0.89802868893084,0.838172581758392,0.8207495962635855,0.8971521057439654,0.8520247612553148
7,0.001062882,3.314253816846758,0.3601139460224658,0.867354916781187,0.8779732070863246,0.8879118623584509,0.8777466620753209,0.7677440864965319,0.7830021169781685,0.799072184190154,0.7832727958882854,0.9988527519255876,0.9971154641360045,0.9990720141679048,0.9983467434098313,0.00041688606415391405,0.001225161356233002,0.00042583275186188987,0.0006892933907496017,0.16194202683866024,0.1371158289210871,0.11733746723737568,0.13879844099904107,0.901868100091815,0.8952786163240671,0.8955406687408686,0.8975624617189167,0.8380579745769501,0.8628841713815928,0.8826625336706638,0.8612015598764019,0.8729377181342478,0.8687100310004159,0.8933612081441986,0.8783363190929545,0.7763981323563651,0.7685633382100737,0.8077338545509939,0.7842317750391448,0.9989404296607114,0.9970871384224195,0.9991291573878085,0.99838557515698,0.00045911755762389973,0.0008210057884538442,0.0004526544252758469,0.0005775925904511971,0.14370211063141233,0.17852858353531761,0.10278666676597649,0.1416724536442355,0.892252370212855,0.9224140275730176,0.8905562805325797,0.9017408927728177,0.8562978881128719,0.8214714185575421,0.8972133310993066,0.8583275459232402
8,0.0009565938,3.122530314140022,0.3659586689900607,0.8742899253964425,0.8843465159833431,0.892337812781334,0.883658084720373,0.7785562586784363,0.7932541531324386,0.8062041794508695,0.792671530420582,0.9989181971549987,0.997280253469944,0.9991093773394824,0.9984359426548088,0.0004001832320909671,0.0011617707296318258,0.0004114657197806082,0.0006578065605011335,0.15346591561567038,0.12983138726092874,0.1126473570917733,0.1319815533227908,0.9066406781971454,0.9003525441884994,0.899500897526741,0.9021647066374621,0.8465340853109956,0.8701686124503613,0.887352641671896,0.86801844647775,0.8692825764752505,0.8832075595855713,0.8655399646651879,0.8726767002420028,0.7708202560296219,0.7913848704166626,0.7637921149811048,0.7753324138091297,0.9989091184701813,0.9971746172797814,0.9989995876055086,0.9983611077851571,0.0004908017314816144,0.0018057478604880108,0.00014310724439924803,0.000813218945456291,0.14299302870470487,0.08880719822946559,0.20924088526307866,0.1470137040657497,0.8837556088908335,0.8571851735704401,0.9576488338159711,0.8995298720924154,0.8570069684071487,0.9111927982126728,0.7907591113883458,0.8529862926693893
9,0.00086093442,2.963675150182098,0.3301861830987036,0.8822850282857654,0.8902398131042719,0.8972955251366683,0.8897874775280556,0.7910761417674183,0.8026734159886837,0.8142473123995623,0.8024520153303943,0.9989810187616694,0.9974091879278422,0.999148520942922,0.9985125552862893,0.0003816510787542524,0.001115784715002519,0.00039102852526675964,0.0006302048218655421,0.1430047506953733,0.12220267253462225,0.1084264013333449,0.12449485070848226,0.9110935927929359,0.9044037535786629,0.9049850465806762,0.9065443257739156,0.8569952495703859,0.8777973274141551,0.8915735994173081,0.8755051496128236,0.8836866402893924,0.8836078690678886,0.9021021576409929,0.8897988889994248,0.7933023551876626,0.7920884148458417,0.8220913838804438,0.8024940513046495,0.9990367038866107,0.9973567000935587,0.9991987468151564,0.9985307169317751,0.00037166234720602964,0.0009739570858563935,0.00043654456042051525,0.0005940546644943125,0.13937360676151983,0.14332847406020324,0.09020549054728465,0.12430252378966922,0.9093895172804929,0.9128471358438556,0.8952714432491345,0.9058360321244946,0.8606263934896233,0.8566715248515097,0.9097945107502884,0.8756974763638069
10,0.000774840978,2.813918109750375,0.336571577237919,0.8885192081332207,0.8958897494524717,0.9024617801606655,0.8956235792487852,0.8007829279452562,0.8117853564023971,0.8227241796255111,0.8117641546577219,0.9990355222672224,0.9975276397913695,0.9991903825104237,0.99858451485634,0.00036526633120047335,0.001068407024795306,0.0003745501146568131,0.0006027411568841973,0.13465943599818275,0.1162465771753341,0.10191487713716924,0.11760696343689535,0.9145959836989641,0.9093647158145904,0.9082164007425308,0.9107257000853615,0.8653405642509461,0.883753420934081,0.8980851228535175,0.8823930360128484,0.8895636890711409,0.8840990374597271,0.8980772421601113,0.8905799895636598,0.8024244442414702,0.7927722535776288,0.8154973675695698,0.8035646884628894,0.9990591487188017,0.9971529372622457,0.9992032131452239,0.9984717663754238,0.000491962861008105,0.0019900333855740644,0.00023932131615551084,0.0009071058542458936,0.10697225778457824,0.07531432413987899,0.1368000279651599,0.10636220329653903,0.8870195471838619,0.847279825907075,0.9366107248188404,0.8903033659699253,0.8930277409178488,0.9246856757764066,0.8631999720348401,0.8936377962430319
